"transaction_id","date","product","category","quantity","price_per_unit","revenue"
1,2024-03-06,"Раф","Кофе",3,280,840
1,2024-03-06,"Латте","Кофе",1,250,250
2,2024-02-01,"Сырник","Выпечка",3,200,600
2,2024-02-01,"Американо","Кофе",1,180,180
2,2024-02-01,"Эспрессо","Кофе",2,150,300
2,2024-02-01,"Латте","Кофе",2,250,500
3,2024-02-03,"Сырник","Выпечка",2,200,400
4,2024-01-26,"Круассан","Выпечка",1,120,120
4,2024-01-26,"Капучино","Кофе",2,220,440
4,2024-01-26,"Мастер и Маргарита","Книги",1,600,600
4,2024-01-26,"Сырник","Выпечка",3,200,600
5,2024-02-27,"Американо","Кофе",2,180,360
5,2024-02-27,"Капучино","Кофе",3,220,660
5,2024-02-27,"Печенье","Выпечка",1,80,80
5,2024-02-27,"Мастер и Маргарита","Книги",1,600,600
6,2024-03-20,"Латте","Кофе",1,250,250
6,2024-03-20,"Сырник","Выпечка",1,200,200
6,2024-03-20,"Маффин","Выпечка",2,150,300
6,2024-03-20,"Печенье","Выпечка",2,80,160
7,2024-02-18,"Мастер и Маргарита","Книги",2,600,1200
7,2024-02-18,"Американо","Кофе",1,180,180
8,2024-03-19,"Раф","Кофе",3,280,840
9,2024-02-27,"Раф","Кофе",1,280,280
10,2024-03-20,"Сырник","Выпечка",1,200,200
10,2024-03-20,"Латте","Кофе",3,250,750
11,2024-03-23,"Мастер и Маргарита","Книги",1,600,600
12,2024-03-01,"Сырник","Выпечка",1,200,200
12,2024-03-01,"Латте","Кофе",2,250,500
12,2024-03-01,"Маффин","Выпечка",2,150,300
13,2024-03-21,"Круассан","Выпечка",2,120,240
13,2024-03-21,"Мастер и Маргарита","Книги",3,600,1800
14,2024-01-18,"Капучино","Кофе",3,220,660
15,2024-01-12,"Американо","Кофе",1,180,180
15,2024-01-12,"Мастер и Маргарита","Книги",2,600,1200
16,2024-03-10,"Война и мир","Книги",3,450,1350
17,2024-03-19,"Эспрессо","Кофе",3,150,450
17,2024-03-19,"Эспрессо","Кофе",3,150,450
17,2024-03-19,"Печенье","Выпечка",1,80,80
17,2024-03-19,"Сырник","Выпечка",3,200,600
18,2024-03-02,"Круассан","Выпечка",1,120,120
18,2024-03-02,"Сырник","Выпечка",3,200,600
18,2024-03-02,"Печенье","Выпечка",2,80,160
18,2024-03-02,"Капучино","Кофе",2,220,440
19,2024-01-19,"Американо","Кофе",3,180,540
19,2024-01-19,"Маффин","Выпечка",2,150,300
20,2024-03-06,"Преступление и наказание","Книги",1,500,500
21,2024-01-02,"Война и мир","Книги",1,450,450
21,2024-01-02,"Сырник","Выпечка",2,200,400
21,2024-01-02,"Капучино","Кофе",1,220,220
21,2024-01-02,"Преступление и наказание","Книги",3,500,1500
22,2024-02-25,"Печенье","Выпечка",3,80,240
22,2024-02-25,"Сырник","Выпечка",1,200,200
22,2024-02-25,"Война и мир","Книги",2,450,900
23,2024-01-21,"Эспрессо","Кофе",1,150,150
24,2024-03-14,"Маффин","Выпечка",2,150,300
24,2024-03-14,"Сырник","Выпечка",1,200,200
24,2024-03-14,"Сырник","Выпечка",1,200,200
25,2024-02-09,"Печенье","Выпечка",2,80,160
25,2024-02-09,"Американо","Кофе",1,180,180
26,2024-03-09,"Сырник","Выпечка",2,200,400
26,2024-03-09,"Мастер и Маргарита","Книги",1,600,600
26,2024-03-09,"Сырник","Выпечка",3,200,600
27,2024-03-04,"Американо","Кофе",2,180,360
27,2024-03-04,"Печенье","Выпечка",3,80,240
28,2024-01-24,"Печенье","Выпечка",1,80,80
28,2024-01-24,"Маффин","Выпечка",1,150,150
28,2024-01-24,"Мастер и Маргарита","Книги",2,600,1200
28,2024-01-24,"Печенье","Выпечка",3,80,240
29,2024-02-29,"Американо","Кофе",2,180,360
29,2024-02-29,"Печенье","Выпечка",2,80,160
29,2024-02-29,"Маффин","Выпечка",1,150,150
30,2024-01-10,"Сырник","Выпечка",1,200,200
30,2024-01-10,"Маффин","Выпечка",1,150,150
31,2024-03-16,"Маффин","Выпечка",1,150,150
31,2024-03-16,"Маффин","Выпечка",1,150,150
32,2024-02-20,"Сырник","Выпечка",1,200,200
32,2024-02-20,"Маффин","Выпечка",3,150,450
32,2024-02-20,"Сырник","Выпечка",1,200,200
33,2024-01-25,"Маффин","Выпечка",2,150,300
33,2024-01-25,"Эспрессо","Кофе",1,150,150
34,2024-01-07,"Раф","Кофе",3,280,840
34,2024-01-07,"Сырник","Выпечка",1,200,200
35,2024-01-30,"Сырник","Выпечка",2,200,400
35,2024-01-30,"Капучино","Кофе",1,220,220
35,2024-01-30,"Маффин","Выпечка",1,150,150
36,2024-03-24,"Мастер и Маргарита","Книги",3,600,1800
36,2024-03-24,"Эспрессо","Кофе",1,150,150
36,2024-03-24,"Латте","Кофе",2,250,500
36,2024-03-24,"Преступление и наказание","Книги",2,500,1000
37,2024-02-17,"Печенье","Выпечка",2,80,160
37,2024-02-17,"Латте","Кофе",1,250,250
37,2024-02-17,"Эспрессо","Кофе",3,150,450
38,2024-01-07,"Печенье","Выпечка",2,80,160
38,2024-01-07,"Сырник","Выпечка",3,200,600
39,2024-03-11,"Раф","Кофе",2,280,560
39,2024-03-11,"Печенье","Выпечка",3,80,240
39,2024-03-11,"Американо","Кофе",3,180,540
39,2024-03-11,"Печенье","Выпечка",1,80,80
39,2024-03-11,"Печенье","Выпечка",3,80,240
40,2024-03-20,"Американо","Кофе",1,180,180
40,2024-03-20,"Американо","Кофе",3,180,540
41,2024-02-01,"Круассан","Выпечка",1,120,120
41,2024-02-01,"Печенье","Выпечка",3,80,240
41,2024-02-01,"Капучино","Кофе",2,220,440
41,2024-02-01,"Печенье","Выпечка",3,80,240
41,2024-02-01,"Раф","Кофе",2,280,560
42,2024-02-02,"Мастер и Маргарита","Книги",1,600,600
42,2024-02-02,"Круассан","Выпечка",2,120,240
42,2024-02-02,"Латте","Кофе",3,250,750
42,2024-02-02,"Война и мир","Книги",3,450,1350
43,2024-03-14,"Круассан","Выпечка",2,120,240
43,2024-03-14,"Латте","Кофе",2,250,500
43,2024-03-14,"Война и мир","Книги",3,450,1350
44,2024-02-23,"Маффин","Выпечка",1,150,150
44,2024-02-23,"Круассан","Выпечка",2,120,240
44,2024-02-23,"Круассан","Выпечка",3,120,360
45,2024-03-24,"Раф","Кофе",3,280,840
45,2024-03-24,"Американо","Кофе",3,180,540
45,2024-03-24,"Печенье","Выпечка",3,80,240
45,2024-03-24,"Латте","Кофе",1,250,250
46,2024-03-22,"Американо","Кофе",3,180,540
46,2024-03-22,"Раф","Кофе",1,280,280
47,2024-03-25,"Мастер и Маргарита","Книги",3,600,1800
47,2024-03-25,"Война и мир","Книги",1,450,450
47,2024-03-25,"Маффин","Выпечка",1,150,150
48,2024-01-12,"Раф","Кофе",2,280,560
48,2024-01-12,"Сырник","Выпечка",3,200,600
49,2024-03-25,"Сырник","Выпечка",2,200,400
49,2024-03-25,"Круассан","Выпечка",1,120,120
49,2024-03-25,"Латте","Кофе",2,250,500
49,2024-03-25,"Эспрессо","Кофе",3,150,450
49,2024-03-25,"Раф","Кофе",2,280,560
50,2024-02-20,"Преступление и наказание","Книги",3,500,1500
50,2024-02-20,"Круассан","Выпечка",3,120,360
50,2024-02-20,"Печенье","Выпечка",3,80,240
50,2024-02-20,"Американо","Кофе",3,180,540
51,2024-02-23,"Печенье","Выпечка",3,80,240
51,2024-02-23,"Круассан","Выпечка",2,120,240
51,2024-02-23,"Раф","Кофе",2,280,560
51,2024-02-23,"Печенье","Выпечка",2,80,160
52,2024-02-23,"Круассан","Выпечка",1,120,120
52,2024-02-23,"Печенье","Выпечка",2,80,160
52,2024-02-23,"Круассан","Выпечка",1,120,120
52,2024-02-23,"Круассан","Выпечка",1,120,120
53,2024-02-19,"Латте","Кофе",1,250,250
53,2024-02-19,"Маффин","Выпечка",1,150,150
54,2024-01-30,"Круассан","Выпечка",1,120,120
54,2024-01-30,"Американо","Кофе",2,180,360
54,2024-01-30,"Маффин","Выпечка",2,150,300
54,2024-01-30,"Мастер и Маргарита","Книги",1,600,600
55,2024-03-05,"Капучино","Кофе",3,220,660
55,2024-03-05,"Мастер и Маргарита","Книги",3,600,1800
55,2024-03-05,"Маффин","Выпечка",1,150,150
55,2024-03-05,"Мастер и Маргарита","Книги",1,600,600
56,2024-01-19,"Мастер и Маргарита","Книги",2,600,1200
56,2024-01-19,"Сырник","Выпечка",1,200,200
56,2024-01-19,"Сырник","Выпечка",3,200,600
57,2024-03-22,"Печенье","Выпечка",2,80,160
57,2024-03-22,"Сырник","Выпечка",1,200,200
57,2024-03-22,"Эспрессо","Кофе",3,150,450
58,2024-02-10,"Капучино","Кофе",3,220,660
59,2024-01-31,"Мастер и Маргарита","Книги",2,600,1200
59,2024-01-31,"Круассан","Выпечка",3,120,360
59,2024-01-31,"Капучино","Кофе",3,220,660
60,2024-02-27,"Преступление и наказание","Книги",2,500,1000
60,2024-02-27,"Мастер и Маргарита","Книги",1,600,600
60,2024-02-27,"Преступление и наказание","Книги",3,500,1500
60,2024-02-27,"Печенье","Выпечка",3,80,240
61,2024-01-25,"Война и мир","Книги",1,450,450
62,2024-02-27,"Капучино","Кофе",3,220,660
62,2024-02-27,"Раф","Кофе",1,280,280
63,2024-03-23,"Война и мир","Книги",3,450,1350
63,2024-03-23,"Круассан","Выпечка",3,120,360
63,2024-03-23,"Капучино","Кофе",3,220,660
64,2024-01-29,"Эспрессо","Кофе",2,150,300
65,2024-01-07,"Печенье","Выпечка",3,80,240
65,2024-01-07,"Эспрессо","Кофе",1,150,150
65,2024-01-07,"Латте","Кофе",1,250,250
65,2024-01-07,"Круассан","Выпечка",3,120,360
66,2024-03-08,"Сырник","Выпечка",3,200,600
66,2024-03-08,"Американо","Кофе",3,180,540
66,2024-03-08,"Сырник","Выпечка",3,200,600
66,2024-03-08,"Латте","Кофе",2,250,500
67,2024-01-19,"Мастер и Маргарита","Книги",3,600,1800
67,2024-01-19,"Круассан","Выпечка",1,120,120
67,2024-01-19,"Эспрессо","Кофе",3,150,450
68,2024-03-14,"Капучино","Кофе",1,220,220
68,2024-03-14,"Печенье","Выпечка",2,80,160
68,2024-03-14,"Американо","Кофе",1,180,180
68,2024-03-14,"Латте","Кофе",3,250,750
68,2024-03-14,"Раф","Кофе",1,280,280
69,2024-02-25,"Преступление и наказание","Книги",1,500,500
69,2024-02-25,"Круассан","Выпечка",2,120,240
69,2024-02-25,"Эспрессо","Кофе",3,150,450
69,2024-02-25,"Печенье","Выпечка",2,80,160
69,2024-02-25,"Круассан","Выпечка",3,120,360
70,2024-01-06,"Капучино","Кофе",2,220,440
71,2024-02-13,"Маффин","Выпечка",1,150,150
72,2024-01-25,"Сырник","Выпечка",3,200,600
72,2024-01-25,"Маффин","Выпечка",2,150,300
