"transaction_id","date","product","category","quantity","price_per_unit","revenue","weekday_num","weekday_name","day_type","month_num","year","week"
1,2024-03-06,"Раф","Кофе",3,280,840,4,"ср","weekday",3,2024,10
1,2024-03-06,"Латте","Кофе",1,250,250,4,"ср","weekday",3,2024,10
2,2024-02-01,"Сырник","Выпечка",3,200,600,5,"чт","weekday",2,2024,5
2,2024-02-01,"Американо","Кофе",1,180,180,5,"чт","weekday",2,2024,5
2,2024-02-01,"Эспрессо","Кофе",2,150,300,5,"чт","weekday",2,2024,5
2,2024-02-01,"Латте","Кофе",2,250,500,5,"чт","weekday",2,2024,5
3,2024-02-03,"Сырник","Выпечка",2,200,400,7,"сб","weekend",2,2024,5
4,2024-01-26,"Круассан","Выпечка",1,120,120,6,"пт","weekday",1,2024,4
4,2024-01-26,"Капучино","Кофе",2,220,440,6,"пт","weekday",1,2024,4
4,2024-01-26,"Мастер и Маргарита","Книги",1,600,600,6,"пт","weekday",1,2024,4
4,2024-01-26,"Сырник","Выпечка",3,200,600,6,"пт","weekday",1,2024,4
5,2024-02-27,"Американо","Кофе",2,180,360,3,"вт","weekday",2,2024,9
5,2024-02-27,"Капучино","Кофе",3,220,660,3,"вт","weekday",2,2024,9
5,2024-02-27,"Печенье","Выпечка",1,80,80,3,"вт","weekday",2,2024,9
5,2024-02-27,"Мастер и Маргарита","Книги",1,600,600,3,"вт","weekday",2,2024,9
6,2024-03-20,"Латте","Кофе",1,250,250,4,"ср","weekday",3,2024,12
6,2024-03-20,"Сырник","Выпечка",1,200,200,4,"ср","weekday",3,2024,12
6,2024-03-20,"Маффин","Выпечка",2,150,300,4,"ср","weekday",3,2024,12
6,2024-03-20,"Печенье","Выпечка",2,80,160,4,"ср","weekday",3,2024,12
7,2024-02-18,"Мастер и Маргарита","Книги",2,600,1200,1,"вс","weekend",2,2024,7
7,2024-02-18,"Американо","Кофе",1,180,180,1,"вс","weekend",2,2024,7
8,2024-03-19,"Раф","Кофе",3,280,840,3,"вт","weekday",3,2024,12
9,2024-02-27,"Раф","Кофе",1,280,280,3,"вт","weekday",2,2024,9
10,2024-03-20,"Сырник","Выпечка",1,200,200,4,"ср","weekday",3,2024,12
10,2024-03-20,"Латте","Кофе",3,250,750,4,"ср","weekday",3,2024,12
11,2024-03-23,"Мастер и Маргарита","Книги",1,600,600,7,"сб","weekend",3,2024,12
12,2024-03-01,"Сырник","Выпечка",1,200,200,6,"пт","weekday",3,2024,9
12,2024-03-01,"Латте","Кофе",2,250,500,6,"пт","weekday",3,2024,9
12,2024-03-01,"Маффин","Выпечка",2,150,300,6,"пт","weekday",3,2024,9
13,2024-03-21,"Круассан","Выпечка",2,120,240,5,"чт","weekday",3,2024,12
13,2024-03-21,"Мастер и Маргарита","Книги",3,600,1800,5,"чт","weekday",3,2024,12
14,2024-01-18,"Капучино","Кофе",3,220,660,5,"чт","weekday",1,2024,3
15,2024-01-12,"Американо","Кофе",1,180,180,6,"пт","weekday",1,2024,2
15,2024-01-12,"Мастер и Маргарита","Книги",2,600,1200,6,"пт","weekday",1,2024,2
16,2024-03-10,"Война и мир","Книги",3,450,1350,1,"вс","weekend",3,2024,10
17,2024-03-19,"Эспрессо","Кофе",3,150,450,3,"вт","weekday",3,2024,12
17,2024-03-19,"Эспрессо","Кофе",3,150,450,3,"вт","weekday",3,2024,12
17,2024-03-19,"Печенье","Выпечка",1,80,80,3,"вт","weekday",3,2024,12
17,2024-03-19,"Сырник","Выпечка",3,200,600,3,"вт","weekday",3,2024,12
